"Index","KrakenBCHUSD.Open","KrakenBCHUSD.High","KrakenBCHUSD.Low","KrakenBCHUSD.Close","KrakenBCHUSD.Volume","KrakenBCHUSD.Adjusted"
2017-08-01T16:00:00.000Z,600000.0,600000.0,130.0,221.9,11071.74324783,221.9
2017-08-01T20:00:00.000Z,210.1,350.0,210.0,350.0,5565.10752425,350.0
2017-08-02T00:00:00.000Z,343.9,375.0,321.0,357.4,1347.40402721,357.4
2017-08-02T04:00:00.000Z,369.0,410.0,340.0,400.0,7513.40418767,400.0
2017-08-02T08:00:00.000Z,400.0,700.0,386.1,630.0,12411.62066086,630.0
2017-08-02T12:00:00.000Z,630.0,811.0,450.0,460.0,14824.27846420,460.0
2017-08-02T16:00:00.000Z,466.0,524.9,303.0,375.0,13557.97241427,375.0
2017-08-02T20:00:00.000Z,375.0,499.0,370.0,489.9,9607.50127256,489.9
2017-08-03T00:00:00.000Z,488.7,583.0,411.0,534.9,9371.02366884,534.9
2017-08-03T04:00:00.000Z,530.0,553.0,450.0,463.9,4108.92362570,463.9
2017-08-03T08:00:00.000Z,463.9,498.0,420.0,466.9,5946.53314733,466.9
2017-08-03T12:00:00.000Z,466.2,466.2,420.0,426.0,3410.55791530,426.0
2017-08-03T16:00:00.000Z,429.9,430.0,369.0,416.0,5913.98041888,416.0
2017-08-03T20:00:00.000Z,416.0,418.2,380.0,397.1,2229.01907901,397.1
2017-08-04T00:00:00.000Z,397.0,404.0,380.0,385.5,1924.77789444,385.5
2017-08-04T04:00:00.000Z,385.5,414.4,350.0,383.0,4546.87218064,383.0
2017-08-04T08:00:00.000Z,383.0,383.0,301.0,301.9,5494.27160530,301.9
2017-08-04T12:00:00.000Z,301.9,331.0,270.0,312.0,5148.15097259,312.0
2017-08-04T16:00:00.000Z,312.2,365.0,292.0,310.0,4652.56551087,310.0
2017-08-04T20:00:00.000Z,310.0,315.9,281.0,281.0,2877.29670399,281.0
2017-08-05T00:00:00.000Z,281.0,295.0,273.0,292.0,2297.75543844,292.0
2017-08-05T04:00:00.000Z,290.0,320.0,284.0,288.0,1843.92342264,288.0
2017-08-05T08:00:00.000Z,287.9,296.0,280.9,285.7,1455.47532770,285.7
2017-08-05T12:00:00.000Z,285.7,309.0,284.2,285.0,1125.01684137,285.0
2017-08-05T16:00:00.000Z,285.0,289.9,260.0,269.0,3484.48038869,269.0
2017-08-05T20:00:00.000Z,263.4,269.9,241.0,255.0,2288.39879097,255.0
2017-08-06T00:00:00.000Z,250.0,250.0,240.1,241.9,1916.74686575,241.9
2017-08-06T04:00:00.000Z,240.5,270.9,240.0,265.0,1882.86754015,265.0
2017-08-06T08:00:00.000Z,266.3,285.0,250.0,262.4,2079.60865749,262.4
2017-08-06T12:00:00.000Z,262.4,279.9,246.5,247.6,1174.72427453,247.6
2017-08-06T16:00:00.000Z,247.5,279.9,242.2,260.0,1276.62224393,260.0
2017-08-06T20:00:00.000Z,260.2,280.0,251.0,280.0,1032.61589684,280.0
2017-08-07T00:00:00.000Z,279.9,320.0,270.0,295.0,4408.60413770,295.0
2017-08-07T04:00:00.000Z,295.3,318.0,280.0,315.0,1742.54797835,315.0
2017-08-07T08:00:00.000Z,316.6,365.0,315.0,343.5,7158.16342245,343.5
2017-08-07T12:00:00.000Z,343.4,355.0,330.1,343.4,1123.71811401,343.4
2017-08-07T16:00:00.000Z,343.9,440.0,338.0,435.0,6552.22673713,435.0
2017-08-07T20:00:00.000Z,435.0,439.8,310.0,321.1,7584.50745661,321.1
2017-08-08T00:00:00.000Z,321.0,339.4,304.0,319.0,4199.34841365,319.0
2017-08-08T04:00:00.000Z,322.1,348.0,310.0,336.0,3261.72544087,336.0
2017-08-08T08:00:00.000Z,335.9,377.4,325.1,358.0,2853.97165884,358.0
2017-08-08T12:00:00.000Z,358.0,390.0,354.5,370.0,3126.83871977,370.0
2017-08-08T16:00:00.000Z,370.0,370.0,326.2,343.5,7466.91979709,343.5
2017-08-08T20:00:00.000Z,343.5,354.0,336.0,344.5,1904.30436743,344.5
2017-08-09T00:00:00.000Z,344.5,355.0,330.0,340.0,2107.75773615,340.0
2017-08-09T04:00:00.000Z,340.0,347.9,325.0,333.9,2127.36370676,333.9
2017-08-09T08:00:00.000Z,333.9,350.9,325.0,325.5,1435.01527531,325.5
2017-08-09T12:00:00.000Z,325.5,330.0,315.0,319.9,2541.86981540,319.9
2017-08-09T16:00:00.000Z,319.9,334.7,318.0,323.3,1495.44069134,323.3
2017-08-09T20:00:00.000Z,323.5,328.4,300.0,304.9,2014.33118099,304.9
2017-08-10T00:00:00.000Z,303.1,315.5,300.0,309.0,2517.76395664,309.0
2017-08-10T04:00:00.000Z,309.0,309.0,300.0,300.0,2498.91057672,300.0
2017-08-10T08:00:00.000Z,301.9,302.9,282.2,293.0,3398.40679361,293.0
2017-08-10T12:00:00.000Z,293.0,318.0,291.0,294.9,2224.39363644,294.9
2017-08-10T16:00:00.000Z,294.0,299.9,289.0,290.1,1768.70736703,290.1
2017-08-10T20:00:00.000Z,290.1,292.1,275.0,278.0,1665.08785913,278.0
2017-08-11T00:00:00.000Z,277.9,294.0,276.5,284.4,1126.15041816,284.4
2017-08-11T04:00:00.000Z,284.4,310.9,283.5,309.0,1743.62826383,309.0
2017-08-11T08:00:00.000Z,310.7,346.0,304.0,338.8,4742.04891680,338.8
2017-08-11T12:00:00.000Z,339.9,355.0,320.8,329.0,4518.24116744,329.0
2017-08-11T16:00:00.000Z,327.3,336.0,319.0,323.8,1236.47682814,323.8
2017-08-11T20:00:00.000Z,321.9,335.2,321.2,328.1,1376.93461708,328.1
2017-08-12T00:00:00.000Z,328.4,330.8,320.0,328.8,425.41172492,328.8
2017-08-12T04:00:00.000Z,328.3,344.9,327.0,337.9,1361.55778988,337.9
2017-08-12T08:00:00.000Z,337.7,339.0,329.0,333.0,942.38235992,333.0
2017-08-12T12:00:00.000Z,333.1,336.0,321.0,327.5,854.72423271,327.5
2017-08-12T16:00:00.000Z,327.4,327.7,316.0,316.0,1153.77437422,316.0
2017-08-12T20:00:00.000Z,316.0,321.8,313.0,320.0,1379.60727500,320.0
