"Index","KrakenDASHUSD.Open","KrakenDASHUSD.High","KrakenDASHUSD.Low","KrakenDASHUSD.Close","KrakenDASHUSD.Volume","KrakenDASHUSD.Adjusted"
2017-07-16T00:00:00.000Z,138.000,142.281,136.000,142.281,182.38320274,142.281
2017-07-16T04:00:00.000Z,142.278,142.278,133.222,136.080,848.99780314,136.080
2017-07-16T08:00:00.000Z,136.080,137.697,123.456,123.456,455.99456458,123.456
2017-07-16T12:00:00.000Z,123.456,130.000,115.000,127.100,1554.29911570,127.100
2017-07-16T16:00:00.000Z,128.000,134.999,126.500,128.836,417.05970097,128.836
2017-07-16T20:00:00.000Z,128.698,133.183,126.841,129.840,490.51083559,129.840
2017-07-17T00:00:00.000Z,132.063,139.849,130.000,134.198,272.00442789,134.198
2017-07-17T04:00:00.000Z,135.469,148.811,134.523,148.000,275.81285256,148.000
2017-07-17T08:00:00.000Z,148.812,150.000,141.000,142.999,98.86089492,142.999
2017-07-17T12:00:00.000Z,141.000,150.000,134.488,144.881,561.21132364,144.881
2017-07-17T16:00:00.000Z,144.881,148.991,142.000,148.838,376.37920292,148.838
2017-07-17T20:00:00.000Z,148.614,154.757,145.000,152.999,646.39323590,152.999
2017-07-18T00:00:00.000Z,150.600,153.114,145.259,148.274,286.44764800,148.274
2017-07-18T04:00:00.000Z,146.378,151.315,145.000,150.943,181.71370964,150.943
2017-07-18T08:00:00.000Z,151.347,154.989,145.887,154.989,217.50066578,154.989
2017-07-18T12:00:00.000Z,154.988,161.999,151.951,161.999,790.30469212,161.999
2017-07-18T16:00:00.000Z,162.000,166.092,155.528,162.155,443.09307289,162.155
2017-07-18T20:00:00.000Z,162.470,167.199,153.283,153.911,955.75679913,153.911
2017-07-19T00:00:00.000Z,156.739,169.650,153.100,161.007,471.43102027,161.007
2017-07-19T04:00:00.000Z,162.333,169.650,162.333,169.399,389.30293322,169.399
2017-07-19T08:00:00.000Z,169.399,173.828,165.723,173.422,197.31461938,173.422
2017-07-19T12:00:00.000Z,168.000,171.632,160.489,165.000,443.33065773,165.000
2017-07-19T16:00:00.000Z,164.013,166.394,155.249,156.999,219.42446675,156.999
2017-07-19T20:00:00.000Z,156.999,159.951,152.000,152.254,55.94301417,152.254
2017-07-20T00:00:00.000Z,158.369,180.000,154.000,169.011,615.49276951,169.011
2017-07-20T04:00:00.000Z,170.000,175.078,170.000,173.999,536.10159099,173.999
2017-07-20T08:00:00.000Z,171.306,215.000,171.306,197.499,1013.54522128,197.499
2017-07-20T12:00:00.000Z,197.380,198.000,189.000,193.259,1004.84254419,193.259
2017-07-20T16:00:00.000Z,194.120,198.000,185.690,193.332,466.18974754,193.332
2017-07-20T20:00:00.000Z,193.332,193.332,185.144,189.108,418.96559238,189.108
2017-07-21T00:00:00.000Z,186.905,194.702,180.000,189.668,137.08613918,189.668
2017-07-21T04:00:00.000Z,190.144,191.965,184.000,186.621,360.89563472,186.621
2017-07-21T08:00:00.000Z,191.946,199.800,187.363,199.799,448.61825996,199.799
2017-07-21T12:00:00.000Z,195.791,200.000,192.000,192.000,211.26184203,192.000
2017-07-21T16:00:00.000Z,191.715,195.000,182.160,182.710,951.30257806,182.710
2017-07-21T20:00:00.000Z,182.710,188.999,180.250,185.872,232.24696529,185.872
2017-07-22T00:00:00.000Z,185.872,196.738,185.600,193.997,404.15918488,193.997
