"Index","KrakenEosEth.Open","KrakenEosEth.High","KrakenEosEth.Low","KrakenEosEth.Close","KrakenEosEth.Volume","KrakenEosEth.Adjusted"
2017-07-16T00:00:00.000Z,0.007765,0.007800,0.007451,0.007700,66279.33075325,0.007700
2017-07-16T04:00:00.000Z,0.007773,0.008072,0.007585,0.007735,56641.92992359,0.007735
2017-07-16T08:00:00.000Z,0.007730,0.008426,0.007719,0.008214,59872.63817131,0.008214
2017-07-16T12:00:00.000Z,0.008219,0.008393,0.007430,0.007920,133832.05302266,0.007920
2017-07-16T16:00:00.000Z,0.007920,0.007989,0.007521,0.007988,64118.56993365,0.007988
2017-07-16T20:00:00.000Z,0.007989,0.008015,0.007626,0.008013,189724.84715722,0.008013
2017-07-17T00:00:00.000Z,0.007893,0.008290,0.007853,0.008173,50946.15877330,0.008173
2017-07-17T04:00:00.000Z,0.008055,0.008389,0.008004,0.008222,116945.05309258,0.008222
2017-07-17T08:00:00.000Z,0.008297,0.008650,0.007853,0.007853,112068.48080747,0.007853
2017-07-17T12:00:00.000Z,0.007853,0.008398,0.007853,0.008313,80154.70294468,0.008313
2017-07-17T16:00:00.000Z,0.008193,0.008422,0.008000,0.008000,86178.11306811,0.008000
2017-07-17T20:00:00.000Z,0.008300,0.008740,0.008001,0.008740,164978.87231302,0.008740
2017-07-18T00:00:00.000Z,0.008300,0.008751,0.008070,0.008144,84340.00723266,0.008144
2017-07-18T04:00:00.000Z,0.008148,0.008900,0.008053,0.008102,51454.76026947,0.008102
2017-07-18T08:00:00.000Z,0.008152,0.008224,0.008000,0.008185,25727.92346560,0.008185
2017-07-18T12:00:00.000Z,0.008107,0.008290,0.007853,0.007999,58689.90836564,0.007999
2017-07-18T16:00:00.000Z,0.007999,0.008197,0.007100,0.007103,94151.11240520,0.007103
2017-07-18T20:00:00.000Z,0.007104,0.007990,0.006790,0.007218,76935.31557837,0.007218
2017-07-19T00:00:00.000Z,0.007227,0.007648,0.007051,0.007200,31221.96207091,0.007200
2017-07-19T04:00:00.000Z,0.007315,0.008198,0.007000,0.007212,95213.73217192,0.007212
