"Index","KrakenEtcUsd.Open","KrakenEtcUsd.High","KrakenEtcUsd.Low","KrakenEtcUsd.Close","KrakenEtcUsd.Volume","KrakenEtcUsd.Adjusted"
2017-07-16T00:00:00.000Z,14.660,15.299,14.500,15.044,11072.14371103,15.044
2017-07-16T04:00:00.000Z,15.052,15.063,14.182,14.382,10892.02028729,14.382
2017-07-16T08:00:00.000Z,14.554,14.554,13.210,13.210,32479.56854087,13.210
2017-07-16T12:00:00.000Z,13.210,14.100,12.750,13.604,56870.35413183,13.604
2017-07-16T16:00:00.000Z,13.603,14.173,13.030,13.030,15160.72047365,13.030
2017-07-16T20:00:00.000Z,13.100,14.299,12.850,13.911,24837.36131870,13.911
2017-07-17T00:00:00.000Z,13.912,15.182,13.870,14.537,31784.44393171,14.537
2017-07-17T04:00:00.000Z,14.548,15.400,14.367,15.278,19001.54441117,15.278
2017-07-17T08:00:00.000Z,15.250,15.360,14.259,14.290,11653.82267437,14.290
2017-07-17T12:00:00.000Z,14.246,14.745,13.828,14.402,15315.78348371,14.402
2017-07-17T16:00:00.000Z,14.410,15.013,14.265,14.788,5774.48510488,14.788
2017-07-17T20:00:00.000Z,14.788,15.430,14.788,15.024,31288.08014748,15.024
2017-07-18T00:00:00.000Z,15.123,15.156,14.600,14.680,7267.16392074,14.680
2017-07-18T04:00:00.000Z,14.641,15.198,14.500,14.970,7225.67338738,14.970
2017-07-18T08:00:00.000Z,14.999,15.105,14.661,15.011,2978.69986219,15.011
2017-07-18T12:00:00.000Z,15.020,16.298,14.983,15.800,19152.77572323,15.800
2017-07-18T16:00:00.000Z,15.800,16.490,15.066,15.960,37678.97204586,15.960
2017-07-18T20:00:00.000Z,15.960,16.200,15.395,15.688,26323.80116797,15.688
2017-07-19T00:00:00.000Z,15.694,15.858,15.050,15.600,8921.77825471,15.600
2017-07-19T04:00:00.000Z,15.600,16.040,15.217,15.965,9551.72953467,15.965
2017-07-19T08:00:00.000Z,15.871,16.100,15.418,15.488,8588.06643102,15.488
2017-07-19T12:00:00.000Z,15.500,15.586,15.050,15.231,6422.02176707,15.231
2017-07-19T16:00:00.000Z,15.233,15.310,14.500,14.500,12487.20164860,14.500
2017-07-19T20:00:00.000Z,14.500,14.679,13.942,14.150,22221.04695505,14.150
2017-07-20T00:00:00.000Z,14.150,15.119,14.150,14.999,7260.33618690,14.999
2017-07-20T04:00:00.000Z,14.999,15.118,14.621,14.750,1252.78536644,14.750
2017-07-20T08:00:00.000Z,14.750,15.629,14.616,15.542,2634.48541258,15.542
2017-07-20T12:00:00.000Z,15.542,16.179,15.306,15.800,23985.97959793,15.800
2017-07-20T16:00:00.000Z,15.800,15.999,15.418,15.924,6433.84712500,15.924
2017-07-20T20:00:00.000Z,15.946,16.200,15.740,16.149,15778.66099972,16.149
2017-07-21T00:00:00.000Z,16.149,16.400,15.791,16.000,9815.00740197,16.000
2017-07-21T04:00:00.000Z,16.370,16.907,16.080,16.570,6071.83448641,16.570
2017-07-21T08:00:00.000Z,16.570,16.743,15.750,16.032,9036.29291017,16.032
2017-07-21T12:00:00.000Z,16.101,16.199,15.817,15.817,2065.27383152,15.817
2017-07-21T16:00:00.000Z,15.817,17.649,15.750,16.174,58252.06144080,16.174
2017-07-21T20:00:00.000Z,16.010,16.174,15.737,15.940,3256.68507931,15.940
2017-07-22T00:00:00.000Z,15.910,16.563,15.910,16.237,1673.69820355,16.237
2017-07-22T04:00:00.000Z,16.236,16.433,16.127,16.342,701.57968033,16.342
2017-07-22T08:00:00.000Z,16.326,16.708,16.161,16.356,5935.03473339,16.356
2017-07-22T12:00:00.000Z,16.277,16.562,16.170,16.509,1924.96479124,16.509
2017-07-22T16:00:00.000Z,16.412,16.773,16.350,16.511,14843.83188178,16.511
2017-07-22T20:00:00.000Z,16.550,16.999,16.500,16.823,3063.82822276,16.823
2017-07-23T00:00:00.000Z,16.822,16.931,16.412,16.599,4566.96995797,16.599
2017-07-23T04:00:00.000Z,16.517,16.739,16.095,16.095,8089.02955353,16.095
2017-07-23T08:00:00.000Z,16.099,16.402,15.779,15.880,5147.04326807,15.880
2017-07-23T12:00:00.000Z,15.831,16.350,15.500,16.311,9000.64993687,16.311
2017-07-23T16:00:00.000Z,16.230,16.311,16.117,16.186,2196.48087966,16.186
2017-07-23T20:00:00.000Z,16.267,16.311,16.000,16.086,1953.01176167,16.086
2017-07-24T00:00:00.000Z,16.119,16.391,16.006,16.322,2149.25740657,16.322
2017-07-24T04:00:00.000Z,16.318,16.318,15.851,16.159,10292.75484643,16.159
2017-07-24T08:00:00.000Z,15.935,16.100,15.871,16.095,2615.68170312,16.095
2017-07-24T12:00:00.000Z,16.000,16.161,15.851,16.074,2979.03831805,16.074
2017-07-24T16:00:00.000Z,16.074,16.378,15.850,16.100,4167.95833994,16.100
2017-07-24T20:00:00.000Z,15.987,16.134,15.924,15.935,593.80293849,15.935
2017-07-25T00:00:00.000Z,15.964,16.030,15.850,15.850,978.23334569,15.850
2017-07-25T04:00:00.000Z,15.850,15.921,14.829,14.917,8846.16641850,14.917
2017-07-25T08:00:00.000Z,14.930,15.198,14.200,14.330,10053.11011391,14.330
2017-07-25T12:00:00.000Z,14.328,15.177,14.300,14.837,8011.16940703,14.837
2017-07-25T16:00:00.000Z,14.797,14.801,14.110,14.200,9136.96138972,14.200
2017-07-25T20:00:00.000Z,14.200,14.700,13.400,14.700,27076.11617895,14.700
2017-07-26T00:00:00.000Z,14.699,14.876,14.131,14.539,9921.48766696,14.539
