"Index","KrakenEthUsd.Open","KrakenEthUsd.High","KrakenEthUsd.Low","KrakenEthUsd.Close","KrakenEthUsd.Volume","KrakenEthUsd.Adjusted"
2017-07-16T00:00:00.000Z,168.60,171.81,163.70,165.83,33377.23238717,165.83
2017-07-16T04:00:00.000Z,165.83,168.03,155.10,157.34,39192.50387282,157.34
2017-07-16T08:00:00.000Z,157.35,158.03,138.12,139.88,67009.85472746,139.88
2017-07-16T12:00:00.000Z,139.90,155.00,134.78,150.38,95895.00137359,150.38
2017-07-16T16:00:00.000Z,150.38,162.00,142.00,142.55,71064.18844744,142.55
2017-07-16T20:00:00.000Z,143.43,159.79,142.00,155.19,26002.76063913,155.19
2017-07-17T00:00:00.000Z,155.20,167.88,154.00,161.99,44625.33290891,161.99
2017-07-17T04:00:00.000Z,162.11,178.49,160.20,176.49,37547.98112718,176.49
2017-07-17T08:00:00.000Z,176.00,179.95,162.96,165.00,39791.88902367,165.00
2017-07-17T12:00:00.000Z,165.00,174.45,158.21,168.00,48317.40655884,168.00
2017-07-17T16:00:00.000Z,167.49,176.94,166.48,173.00,34145.34333578,173.00
2017-07-17T20:00:00.000Z,173.00,190.00,172.41,188.72,66313.65908722,188.72
2017-07-18T00:00:00.000Z,188.72,192.97,180.20,181.51,36175.90928915,181.51
2017-07-18T04:00:00.000Z,181.98,193.98,178.00,189.29,32373.61447806,189.29
2017-07-18T08:00:00.000Z,189.99,193.97,185.00,193.00,31991.92239151,193.00
2017-07-18T12:00:00.000Z,193.00,211.76,190.00,211.00,62633.14392958,211.00
2017-07-18T16:00:00.000Z,210.01,236.98,198.20,236.98,99994.28882131,236.98
2017-07-18T20:00:00.000Z,236.98,271.40,216.90,228.00,96820.63578848,228.00
2017-07-19T00:00:00.000Z,228.13,233.00,210.25,225.25,40854.49695644,225.25
2017-07-19T04:00:00.000Z,225.04,246.00,220.11,240.17,40513.00388661,240.17
2017-07-19T08:00:00.000Z,242.10,244.49,227.52,228.60,19645.94493960,228.60
2017-07-19T12:00:00.000Z,229.00,231.35,213.11,224.84,50066.11071654,224.84
2017-07-19T16:00:00.000Z,224.80,225.00,188.00,189.00,59039.19276202,189.00
2017-07-19T20:00:00.000Z,189.00,207.50,185.30,193.50,100776.42677045,193.50
2017-07-20T00:00:00.000Z,193.50,219.99,193.00,211.00,54571.46293204,211.00
2017-07-20T04:00:00.000Z,211.00,216.27,201.00,205.00,29294.56272743,205.00
2017-07-20T08:00:00.000Z,205.00,228.00,203.50,227.00,41373.01054711,227.00
2017-07-20T12:00:00.000Z,227.49,237.00,220.13,228.49,68645.69359190,228.49
2017-07-20T16:00:00.000Z,228.49,230.99,218.00,226.00,25627.59109164,226.00
2017-07-20T20:00:00.000Z,226.00,232.70,220.10,227.49,35537.97774559,227.49
2017-07-21T00:00:00.000Z,227.49,231.11,219.23,227.00,20719.39766436,227.00
2017-07-21T04:00:00.000Z,227.62,239.00,226.17,236.60,21372.38020990,236.60
