"Index","KrakenLtcUsd.Open","KrakenLtcUsd.High","KrakenLtcUsd.Low","KrakenLtcUsd.Close","KrakenLtcUsd.Volume","KrakenLtcUsd.Adjusted"
2017-07-16T00:00:00.000Z,38.20,40.00,37.71,39.78,7136.10566213,39.78
2017-07-16T04:00:00.000Z,39.78,40.00,37.97,38.66,8488.36878076,38.66
2017-07-16T08:00:00.000Z,38.85,39.00,36.00,36.00,13436.26869994,36.00
2017-07-16T12:00:00.000Z,36.18,38.68,35.00,37.36,52168.44662474,37.36
2017-07-16T16:00:00.000Z,37.36,39.98,37.14,37.83,11354.07323587,37.83
2017-07-16T20:00:00.000Z,37.83,40.61,37.83,40.53,18584.49580887,40.53
2017-07-17T00:00:00.000Z,40.53,41.89,39.85,39.85,12297.22661239,39.85
2017-07-17T04:00:00.000Z,39.84,42.49,39.84,42.37,23983.82403719,42.37
2017-07-17T08:00:00.000Z,42.14,42.36,40.00,40.32,18862.12960683,40.32
2017-07-17T12:00:00.000Z,40.49,42.00,39.19,40.93,18403.74332742,40.93
2017-07-17T16:00:00.000Z,41.36,43.29,40.93,41.96,14472.31434491,41.96
2017-07-17T20:00:00.000Z,41.96,42.69,41.71,42.24,11503.51597754,42.24
2017-07-18T00:00:00.000Z,42.00,42.50,41.25,41.37,7500.25453947,41.37
2017-07-18T04:00:00.000Z,41.33,43.19,40.69,43.14,17940.44745436,43.14
2017-07-18T08:00:00.000Z,42.91,43.00,41.60,43.00,10577.07552209,43.00
2017-07-18T12:00:00.000Z,43.00,45.00,42.33,44.50,32221.45707446,44.50
2017-07-18T16:00:00.000Z,44.50,44.74,42.86,44.22,25199.50123014,44.22
2017-07-18T20:00:00.000Z,44.22,44.90,42.86,43.47,11865.41816945,43.47
2017-07-19T00:00:00.000Z,43.47,43.76,41.60,43.11,15619.85708838,43.11
2017-07-19T04:00:00.000Z,43.26,44.12,41.86,43.92,21597.49121623,43.92
2017-07-19T08:00:00.000Z,43.50,43.92,41.76,42.97,13798.78004976,42.97
2017-07-19T12:00:00.000Z,42.50,42.97,41.00,41.94,19579.82774854,41.94
2017-07-19T16:00:00.000Z,41.78,41.94,40.00,40.00,8569.84928060,40.00
2017-07-19T20:00:00.000Z,40.00,40.89,38.02,39.90,8302.10758598,39.90
2017-07-20T00:00:00.000Z,40.40,42.00,40.17,41.62,4215.03458778,41.62
2017-07-20T04:00:00.000Z,41.62,42.30,41.02,41.55,2400.34963941,41.55
2017-07-20T08:00:00.000Z,41.40,43.10,40.74,42.60,8842.73242941,42.60
2017-07-20T12:00:00.000Z,42.60,44.83,41.70,44.83,60421.68558689,44.83
2017-07-20T16:00:00.000Z,44.83,46.00,43.46,44.24,16776.40275860,44.24
2017-07-20T20:00:00.000Z,44.37,45.23,44.24,44.75,5343.96476489,44.75
2017-07-21T00:00:00.000Z,44.92,48.00,44.39,46.53,14586.64214037,46.53
2017-07-21T04:00:00.000Z,46.53,47.45,46.20,47.00,20946.77875263,47.00
2017-07-21T08:00:00.000Z,47.02,47.40,45.39,45.90,8995.10342128,45.90
2017-07-21T12:00:00.000Z,45.96,46.00,45.00,45.29,17190.73573068,45.29
2017-07-21T16:00:00.000Z,45.29,45.96,44.30,44.72,4066.38127999,44.72
2017-07-21T20:00:00.000Z,44.72,45.90,43.78,45.25,8148.84741247,45.25
2017-07-22T00:00:00.000Z,45.25,45.99,45.03,45.21,5127.56017478,45.21
2017-07-22T04:00:00.000Z,45.21,45.94,45.06,45.41,1206.83999018,45.41
2017-07-22T08:00:00.000Z,45.42,46.37,45.40,45.50,2761.78848551,45.50
2017-07-22T12:00:00.000Z,45.35,46.09,44.95,45.46,16260.71171362,45.46
2017-07-22T16:00:00.000Z,45.21,46.00,45.21,46.00,9192.51368197,46.00
2017-07-22T20:00:00.000Z,45.99,47.37,45.90,46.69,6675.91299380,46.69
2017-07-23T00:00:00.000Z,46.69,47.09,46.25,46.58,1942.59202587,46.58
2017-07-23T04:00:00.000Z,46.35,46.40,44.66,44.66,15050.91873454,44.66
2017-07-23T08:00:00.000Z,44.65,44.94,43.95,44.25,6101.32012714,44.25
2017-07-23T12:00:00.000Z,44.00,45.89,43.73,45.53,3669.35870893,45.53
2017-07-23T16:00:00.000Z,45.27,45.79,44.97,45.25,2172.65667160,45.25
2017-07-23T20:00:00.000Z,45.17,45.79,44.81,45.28,1428.63037039,45.28
2017-07-24T00:00:00.000Z,45.28,45.55,44.60,45.19,3465.68668037,45.19
2017-07-24T04:00:00.000Z,45.01,45.19,44.33,44.64,4885.31060811,44.64
2017-07-24T08:00:00.000Z,44.76,45.10,44.37,44.66,3307.69047918,44.66
2017-07-24T12:00:00.000Z,44.66,45.89,44.50,44.99,28626.32210662,44.99
2017-07-24T16:00:00.000Z,44.66,45.20,44.66,45.20,4133.43945214,45.20
2017-07-24T20:00:00.000Z,45.19,45.47,44.64,44.77,2485.71664427,44.77
2017-07-25T00:00:00.000Z,44.88,45.19,44.66,44.81,1429.98714597,44.81
2017-07-25T04:00:00.000Z,44.81,45.00,42.60,42.61,9238.64789160,42.61
2017-07-25T08:00:00.000Z,42.60,43.44,39.60,41.00,14448.73265423,41.00
2017-07-25T12:00:00.000Z,41.00,42.49,39.58,42.00,15227.43772763,42.00
