"Index","KrakenXmrUsd.Open","KrakenXmrUsd.High","KrakenXmrUsd.Low","KrakenXmrUsd.Close","KrakenXmrUsd.Volume","KrakenXmrUsd.Adjusted"
2017-07-16T00:00:00.000Z,32.01,32.40,30.50,31.41,1080.12627392,31.41
2017-07-16T04:00:00.000Z,31.96,31.99,30.36,31.13,1693.96089290,31.13
2017-07-16T08:00:00.000Z,31.44,31.47,29.44,29.70,1265.00576925,29.70
2017-07-16T12:00:00.000Z,29.44,30.16,27.51,29.88,2118.69999435,29.88
2017-07-16T16:00:00.000Z,29.93,30.56,28.77,28.77,544.19235336,28.77
2017-07-16T20:00:00.000Z,28.77,29.39,28.40,28.82,645.91621902,28.82
2017-07-17T00:00:00.000Z,29.43,31.49,28.99,30.60,2301.12857253,30.60
2017-07-17T04:00:00.000Z,30.48,33.38,30.48,32.79,940.96924026,32.79
2017-07-17T08:00:00.000Z,32.44,32.93,31.50,31.50,1782.04766408,31.50
2017-07-17T12:00:00.000Z,31.80,33.08,31.39,32.68,1201.78248019,32.68
2017-07-17T16:00:00.000Z,32.50,34.35,32.28,33.65,2150.25206498,33.65
2017-07-17T20:00:00.000Z,33.84,35.23,33.84,34.61,1939.25884011,34.61
2017-07-18T00:00:00.000Z,34.61,35.05,33.49,33.57,1267.69016475,33.57
2017-07-18T04:00:00.000Z,33.57,34.82,33.21,34.82,4559.36382294,34.82
2017-07-18T08:00:00.000Z,34.65,34.93,33.93,34.89,352.58370795,34.89
2017-07-18T12:00:00.000Z,34.95,37.05,34.83,36.50,2186.71228807,36.50
2017-07-18T16:00:00.000Z,37.04,38.05,35.76,38.05,3156.09043911,38.05
2017-07-18T20:00:00.000Z,37.30,38.22,35.00,36.47,2851.98771866,36.47
2017-07-19T00:00:00.000Z,36.70,36.76,35.63,36.68,827.81739769,36.68
2017-07-19T04:00:00.000Z,36.30,37.58,35.90,37.57,847.15502460,37.57
2017-07-19T08:00:00.000Z,37.57,37.70,36.65,37.49,1354.68850982,37.49
2017-07-19T12:00:00.000Z,37.00,37.49,36.18,36.48,563.19574045,36.48
2017-07-19T16:00:00.000Z,36.74,36.74,33.66,33.66,1203.44788284,33.66
2017-07-19T20:00:00.000Z,33.66,35.87,33.66,34.86,781.73510690,34.86
2017-07-20T00:00:00.000Z,34.86,37.49,34.85,36.18,410.11855823,36.18
2017-07-20T04:00:00.000Z,36.42,37.34,36.00,36.42,120.28801862,36.42
2017-07-20T08:00:00.000Z,36.91,38.23,36.10,38.22,762.07815316,38.22
2017-07-20T12:00:00.000Z,38.22,41.49,37.70,40.20,3050.36720500,40.20
2017-07-20T16:00:00.000Z,40.20,40.99,39.43,40.06,553.92016530,40.06
2017-07-20T20:00:00.000Z,40.35,43.05,40.35,41.42,1328.60962426,41.42
2017-07-21T00:00:00.000Z,40.36,41.96,40.04,40.04,714.42423799,40.04
2017-07-21T04:00:00.000Z,40.99,41.38,40.20,41.38,390.56660609,41.38
2017-07-21T08:00:00.000Z,41.38,41.38,40.58,41.38,430.94563989,41.38
2017-07-21T12:00:00.000Z,41.38,42.06,40.87,41.49,781.13965954,41.49
2017-07-21T16:00:00.000Z,41.49,42.58,39.64,39.64,1147.20960336,39.64
2017-07-21T20:00:00.000Z,39.91,40.78,39.50,40.29,313.01970188,40.29
2017-07-22T00:00:00.000Z,40.02,41.67,40.00,41.46,477.83336688,41.46
2017-07-22T04:00:00.000Z,40.88,41.12,40.81,41.12,3.99691136,41.12
2017-07-22T08:00:00.000Z,41.79,42.09,40.90,41.31,170.15967118,41.31
2017-07-22T12:00:00.000Z,41.28,41.61,40.30,41.45,511.90608808,41.45
2017-07-22T16:00:00.000Z,41.61,43.99,40.92,43.33,2238.91771137,43.33
2017-07-22T20:00:00.000Z,42.84,44.99,42.84,44.96,524.58205008,44.96
2017-07-23T00:00:00.000Z,44.96,44.96,43.90,44.77,594.55930582,44.77
2017-07-23T04:00:00.000Z,43.90,44.75,42.83,42.83,541.95490306,42.83
