"Index","KrakenZecUsd.Open","KrakenZecUsd.High","KrakenZecUsd.Low","KrakenZecUsd.Close","KrakenZecUsd.Volume","KrakenZecUsd.Adjusted"
2017-07-16T00:00:00.000Z,159.80,168.22,154.75,161.24,258.73500904,161.24
2017-07-16T04:00:00.000Z,161.25,165.18,155.00,156.00,232.82728910,156.00
2017-07-16T08:00:00.000Z,155.00,155.96,140.00,142.99,1080.75525538,142.99
2017-07-16T12:00:00.000Z,142.99,155.16,132.00,147.77,1108.78900925,147.77
2017-07-16T16:00:00.000Z,147.75,159.62,147.75,149.19,385.51994366,149.19
2017-07-16T20:00:00.000Z,148.90,163.46,145.11,163.45,905.25142847,163.45
2017-07-17T00:00:00.000Z,163.76,167.57,160.01,161.64,163.32899212,161.64
2017-07-17T04:00:00.000Z,161.64,179.99,161.37,173.30,252.94419497,173.30
2017-07-17T08:00:00.000Z,173.67,179.99,167.64,167.96,269.30832564,167.96
2017-07-17T12:00:00.000Z,167.96,172.85,135.90,165.00,908.14677524,165.00
2017-07-17T16:00:00.000Z,165.00,173.76,165.00,171.49,190.78541723,171.49
2017-07-17T20:00:00.000Z,171.49,181.99,169.99,179.20,336.35624773,179.20
2017-07-18T00:00:00.000Z,180.30,181.98,172.14,175.00,321.13192666,175.00
2017-07-18T04:00:00.000Z,174.12,179.66,172.63,179.66,34.11468126,179.66
2017-07-18T08:00:00.000Z,178.10,198.00,174.83,193.83,901.35627683,193.83
2017-07-18T12:00:00.000Z,188.20,198.00,187.70,195.52,577.19006935,195.52
2017-07-18T16:00:00.000Z,197.99,214.99,188.11,214.99,1112.50445984,214.99
2017-07-18T20:00:00.000Z,209.24,225.00,193.86,200.00,1408.14885061,200.00
2017-07-19T00:00:00.000Z,199.99,200.00,187.70,200.00,355.80409780,200.00
2017-07-19T04:00:00.000Z,198.00,217.85,197.73,214.66,657.57228629,214.66
2017-07-19T08:00:00.000Z,214.49,218.39,204.91,210.30,222.48373528,210.30
2017-07-19T12:00:00.000Z,212.92,213.26,196.00,200.43,431.41174655,200.43
2017-07-19T16:00:00.000Z,205.00,206.36,185.00,185.00,394.20462302,185.00
2017-07-19T20:00:00.000Z,185.00,186.94,176.33,182.00,335.40050548,182.00
2017-07-20T00:00:00.000Z,180.46,198.99,180.46,192.45,51.43358356,192.45
2017-07-20T04:00:00.000Z,195.00,198.99,186.00,186.00,283.10120728,186.00
2017-07-20T08:00:00.000Z,190.00,209.50,186.00,206.87,225.41693892,206.87
2017-07-20T12:00:00.000Z,200.50,218.99,200.50,212.20,983.25047377,212.20
2017-07-20T16:00:00.000Z,214.00,219.30,201.25,214.71,341.19629602,214.71
2017-07-20T20:00:00.000Z,214.60,222.99,210.09,210.09,534.97323033,210.09
2017-07-21T00:00:00.000Z,213.93,213.93,207.00,207.86,140.37103549,207.86
2017-07-21T04:00:00.000Z,208.17,217.21,208.17,215.87,370.16420283,215.87
2017-07-21T08:00:00.000Z,216.24,217.33,213.54,215.27,314.70397430,215.27
2017-07-21T12:00:00.000Z,215.27,216.43,208.69,208.69,140.83670171,208.69
2017-07-21T16:00:00.000Z,208.59,210.99,199.50,199.99,716.99549526,199.99
2017-07-21T20:00:00.000Z,199.89,204.20,197.22,203.49,200.78223766,203.49
2017-07-22T00:00:00.000Z,201.32,209.99,200.25,204.50,100.92105049,204.50
2017-07-22T04:00:00.000Z,205.00,208.00,205.00,208.00,38.08521772,208.00
2017-07-22T08:00:00.000Z,208.00,213.21,206.11,208.15,357.82818523,208.15
2017-07-22T12:00:00.000Z,208.15,212.40,205.20,211.00,311.78505515,211.00
2017-07-22T16:00:00.000Z,209.00,215.00,208.18,211.84,1093.96975170,211.84
2017-07-22T20:00:00.000Z,210.00,220.10,210.00,219.50,215.35218007,219.50
2017-07-23T00:00:00.000Z,219.50,228.21,219.00,224.00,78.97713237,224.00
2017-07-23T04:00:00.000Z,224.10,225.70,215.30,215.50,503.83936093,215.50
2017-07-23T08:00:00.000Z,215.12,218.42,209.90,209.90,245.33220101,209.90
2017-07-23T12:00:00.000Z,209.69,215.00,207.90,215.00,136.53432909,215.00
2017-07-23T16:00:00.000Z,213.41,220.66,211.49,215.98,264.65046699,215.98
2017-07-23T20:00:00.000Z,214.30,217.09,210.59,212.50,189.53759654,212.50
2017-07-24T00:00:00.000Z,210.70,214.95,210.10,211.28,137.29925975,211.28
2017-07-24T04:00:00.000Z,211.28,216.43,208.20,210.50,231.48223692,210.50
2017-07-24T08:00:00.000Z,212.32,212.99,210.79,211.09,8.95193221,211.09
2017-07-24T12:00:00.000Z,209.60,212.99,208.20,212.47,271.79818659,212.47
2017-07-24T16:00:00.000Z,208.98,212.99,208.98,212.98,62.61470044,212.98
2017-07-24T20:00:00.000Z,210.00,212.99,210.00,210.10,29.09416623,210.10
2017-07-25T00:00:00.000Z,211.86,212.49,208.00,208.00,41.95904403,208.00
2017-07-25T04:00:00.000Z,209.52,209.99,190.00,197.59,413.73084630,197.59
